id;breweries;address1;address2;city;state;code;country;phone;website;filepath;descript;last_mod;coordinates
203;Brasseries Kronenbourg;68 route d'Oberhausbergen;;Strasbourg;;;France;33-03.88.27.44.88;;;;2010-07-22T22:00:20+02:00;48.593,7.7149
185;Brasserie des Vosges;680 rue de la Brasserie;;Dommartin les Remiremont;;;France;33-03.29.22.11.36;;;;2010-07-22T22:00:20+02:00;48.0028,6.6583
200;Brasserie Thiriez;22 rue Wormhout;;Esquelbecq;;;France;33-03.28.62.88.44;;;;2010-07-22T22:00:20+02:00;50.8851,2.4329
1423;Brasserie du Bouffay;54 Rue des Monceaux;;Carquefou;;44470;France;;;;La Brasserie du Bouffay est situ;2011-10-04T02:24:33+02:00;
190;Brasserie Duyck;113, rte Nationale;;Jenlain;;;France;33-03.27.49.70.03;;;;2010-07-22T22:00:20+02:00;50.3089,3.6285
199;Brasserie Pietra;Route de la Marana;;Furiani;;;France;33-04.95.30.14.70;;;;2010-07-22T22:00:20+02:00;42.6483,9.4529
196;Brasserie La Choulette;16 rue des Ecoles;;Hordain;;;France;33-03.27.35.72.44;;;;2010-07-22T22:00:20+02:00;50.2601,3.3125
165;Brasserie Bnifontaine;13, rue Pasteur;;Bnifontaine;;;France;33-03.21.08.68.68;;;;2010-07-22T22:00:20+02:00;50.4852,2.8306
182;Brasserie des Cimes;152 Avenue St Simond;;Aix les Bains;;;France;33-04.79.88.16.80;;;;2010-07-22T22:00:20+02:00;45.7075,5.9153
177;Brasserie De Saint Sylvestre;121, rue de la Chapelle;;St-Sylvestre-Cappel;;;France;33-03.28.40.15.49;http://www.brasserie-st-sylvestre.com/;;;2010-07-22T22:00:20+02:00;50.7975,2.5412
193;Brasserie Grain D'Orge;;;Ronchin;;;France;;;;Once named Brasserie Jeanne D'Arc, this Brewery had changed their name due to change in management.;2010-07-22T22:00:20+02:00;50.6054,3.0775
